[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.1647005
[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.2665904
[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.3671706
[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.467752
[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.5684485
[0, 0, 0, 0, 0, 0, 0, 0, 1]|1683551809.670003
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551809.7705846
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551809.871407
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551809.97303
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.0740857
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.1750326
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.2750978
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.3758428
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.4764247
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.5769777
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.6777694
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.7785046
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.8790994
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551810.9797132
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.079929
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.1805112
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.2811477
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.3816502
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.4823582
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.5829506
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.6836708
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.7844741
[0, 0, 0, 0, 0, 0, 0, 1, 0]|1683551811.891888
